name,ministry,category,state,benefit_summary,benefit_amount,application_url,official_portal,is_active,source_url,verified_at
Pradhan Mantri Suraksha Bima Yojana (PMSBY),"Department of Financial Services, Ministry of Finance",Financial Aid,,"Accidental death and disability insurance cover for bank/post office account holders aged 18-70, renewable annually at a low premium","Rs 2 lakh for accidental death or permanent total disability; Rs 1 lakh for permanent partial disability; annual premium Rs 20",https://www.jansuraksha.gov.in,https://www.jansuraksha.gov.in,TRUE,"https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1922622&reg=48&lang=2",2026-09-14
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),"Department of Financial Services, Ministry of Finance",Financial Aid,,"Renewable one-year term life insurance cover for bank/post office account holders aged 18-50, covering death from any cause","Rs 2 lakh life cover on death of the insured due to any cause; annual premium Rs 330",https://www.jansuraksha.gov.in,https://www.jansuraksha.gov.in,TRUE,"https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1922622&reg=48&lang=2",2026-09-14
Janani Suraksha Yojana (JSY),Ministry of Health and Family Welfare (National Health Mission),Healthcare,,"Cash assistance to pregnant women for institutional delivery to reduce maternal and infant mortality; amount varies by state performance category (LPS/HPS) and rural/urban residence","Rs 1400 (LPS rural), Rs 1000 (LPS urban), Rs 700 (HPS rural), Rs 600 (HPS urban), plus ASHA facilitation incentive",https://nhm.gov.in,"https://nhm.gov.in/index1.php?lang=1&level=3&lid=309&sublinkid=841",TRUE,"https://nhm.gov.in/WriteReadData/l892s/97827133331523438951.pdf",2026-09-14
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),Ministry of Agriculture and Farmers Welfare,Financial Aid,,"Voluntary and contributory pension scheme for small and marginal farmers, providing an assured minimum pension after age 60","Rs 3000/month pension after age 60; 50% family pension to spouse on death of farmer; monthly contribution Rs 55-200 matched by Government",https://maandhan.in/scheme/pmkmy,https://maandhan.in,TRUE,"https://pmkisan.gov.in/Documents/PM-KMY%20-%20Salient%20Features.pdf",2026-09-14
PM Krishi Sinchayee Yojana - Per Drop More Crop (PMKSY-PDMC),"Ministry of Agriculture and Farmers Welfare (in coordination with Ministry of Jal Shakti)",Agriculture,,"Financial assistance for installation of micro-irrigation (drip and sprinkler) systems to improve water use efficiency at farm level","55% subsidy for small and marginal farmers, 45% subsidy for other farmers on micro-irrigation installation cost",https://pmksy.gov.in,https://pmksy.gov.in,TRUE,"https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1985487&reg=48&lang=2",2026-09-14
Soil Health Card Scheme,Ministry of Agriculture and Farmers Welfare,Agriculture,,"Free soil testing with crop-wise nutrient and fertilizer recommendations issued to land-holding farmers periodically to improve productivity","Free of cost soil testing and advisory card, reissued approximately every 2-3 years",https://soilhealth.dac.gov.in,https://soilhealth.dac.gov.in,TRUE,"https://www.pib.gov.in/PressReleasePage.aspx?PRID=2104403&reg=48&lang=2",2026-09-14
Kisan Credit Card (KCC) Scheme,"Ministry of Agriculture and Farmers Welfare / Department of Financial Services",Agriculture,,"Single-window short-term credit facility for crop cultivation and allied agricultural needs (dairy, poultry, fisheries, animal husbandry) at subsidised interest rate via a RuPay-enabled card","Loan limit up to Rs 5 lakh eligible for interest subvention (effective 4% on timely repayment); collateral-free lending up to Rs 2 lakh",https://www.myscheme.gov.in/schemes/kcc,https://www.myscheme.gov.in/schemes/kcc,TRUE,"https://www.pib.gov.in/PressReleasePage.aspx?PRID=1808328&reg=3&lang=2",2026-09-14
Paramparagat Krishi Vikas Yojana (PKVY),Ministry of Agriculture and Farmers Welfare,Agriculture,,"Cluster-based support for farmers to adopt organic farming, covering inputs, certification, processing and marketing end-to-end","Rs 31500/hectare over 3 years per organic cluster, of which Rs 15000/hectare is direct DBT to farmers for inputs",https://pgsindia-ncof.gov.in,https://pgsindia-ncof.gov.in,TRUE,"https://www.pib.gov.in/PressReleasePage.aspx?PRID=2099756",2026-09-14
National Livestock Mission,"Ministry of Fisheries, Animal Husbandry and Dairying (Department of Animal Husbandry and Dairying)",Agriculture,,"Capital subsidy support for entrepreneurship development in rural poultry, sheep/goat breeding, piggery breeding, and feed/fodder production for individuals, FPOs, SHGs, JLGs and Section 8 companies","50% capital subsidy: up to Rs 25 lakh (rural poultry), Rs 50 lakh (sheep/goat breeding farm), Rs 30 lakh (piggery breeding farm)",https://nlm.udyamimitra.in,"https://dahd.gov.in/schemes/programmes/national_livestock_mission",TRUE,"https://dahd.gov.in/sites/default/files/2023-11/NLMGuidelinesFinalApprovedByEC.pdf",2026-09-14
Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),"Department of Pharmaceuticals, Ministry of Chemicals and Fertilizers",Healthcare,,"Quality generic medicines and surgical items sold at affordable prices to the public through dedicated Jan Aushadhi Kendras across the country","Medicines priced 50-90% below branded market price; over 19500 Jan Aushadhi Kendras operational nationwide",https://janaushadhi.gov.in,https://janaushadhi.gov.in,TRUE,"https://janaushadhi.gov.in/pmjy.aspx",2026-09-14
Nikshay Poshan Yojana,Ministry of Health and Family Welfare (Central TB Division),Healthcare,,"Monthly nutritional support cash transfer to all notified tuberculosis patients for the duration of their treatment under the National TB Elimination Programme","Rs 1000 per month per notified TB patient, disbursed via DBT to Aadhaar-linked bank account",https://nikshay.in,https://tbcindia.mohfw.gov.in,TRUE,"https://tbcindia.mohfw.gov.in/wp-content/uploads/2023/05/6851513623Nutrition-support-DBT-Scheme-details.pdf",2026-09-14
Rashtriya Arogya Nidhi (RAN),Ministry of Health and Family Welfare,Healthcare,,"Financial assistance to patients from Below Poverty Line families suffering from major life-threatening diseases (heart, kidney, liver, cancer, etc.) for treatment at government super-specialty hospitals","Financial assistance up to Rs 15 lakh (up to Rs 20 lakh for rare diseases)",https://mohfw.gov.in,https://mohfw.gov.in,TRUE,"https://mohfw.gov.in/sites/default/files/7845192051425018860%20(1).pdf",2026-09-14
