scheme_name,attribute_name,operator,value,rule_description,source_text_snippet
Pradhan Mantri Suraksha Bima Yojana (PMSBY),age,>=,18,Applicant must be at least 18 years old,"Persons in the age group of 18-70 years having an individual bank or a post office account are entitled to enroll under the scheme"
Pradhan Mantri Suraksha Bima Yojana (PMSBY),age,<=,70,Applicant must be at most 70 years old,"Persons in the age group of 18-70 years having an individual bank or a post office account are entitled to enroll under the scheme"
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),age,>=,18,Applicant must be at least 18 years old,"Entry age ranges from 18 to 50 years, offering coverage till the age of 55 years"
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),age,<=,50,Applicant must be at most 50 years old at entry,"Entry age ranges from 18 to 50 years, offering coverage till the age of 55 years"
Janani Suraksha Yojana (JSY),gender,=,FEMALE,Scheme is for pregnant women only,"Janani Suraksha Yojana...pregnant women delivering in Government health centres"
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),age,>=,18,Applicant must be at least 18 years old,"falling in the age group of 18 to 40 years"
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),age,<=,40,Applicant must be at most 40 years old at enrollment,"falling in the age group of 18 to 40 years"
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),occupation,=,FARMER,Scheme is restricted to small and marginal farmers with cultivable landholding up to 2 hectares,"All Small and Marginal Farmers having cultivable landholding up to 2 hectares...are eligible to get benefit under the Scheme"
PM Krishi Sinchayee Yojana - Per Drop More Crop (PMKSY-PDMC),occupation,=,FARMER,Scheme is available to farmers installing micro-irrigation systems,"Financial Assistance...for Small & Marginal farmers and...other farmers is provided by the Government for installation of Micro Irrigation"
Soil Health Card Scheme,occupation,=,FARMER,Scheme is available to land-holding farmers,"Eligibility extends to most land-holding farmers across India, including small, marginal, medium, and large farmers"
Kisan Credit Card (KCC) Scheme,occupation,=,FARMER,Scheme is available to farmers including owner cultivators, tenant farmers, oral lessees and share croppers,"farmers eligible under the KCC scheme include small farmers, marginal farmers, share croppers, oral lessee and tenant farmers"
Paramparagat Krishi Vikas Yojana (PKVY),occupation,=,FARMER,Scheme is available to farmers adopting cluster-based organic farming,"Eligibility for PKVY extends to all farmers and institutions...to adopt organic farming collectively"
Rashtriya Arogya Nidhi (RAN),is_bpl,=,TRUE,Applicant's family must be registered as Below Poverty Line,"The patient must belong to a family officially registered as Below the Poverty Line (BPL)"
Rashtriya Arogya Nidhi (RAN),annual_income,<=,125000,Total annual family income must not exceed Rs 1.25 lakh,"The total annual family income should not exceed Rs 1,25,000"
