scheme_name,attribute_name,operator,value,rule_description,source_text_snippet
National Means-cum-Merit Scholarship (NMMS),education_level,=,Class 8,Must be currently studying in Class 8 at a government/government-aided/local body school,"Students currently studying in Class 8 in government, government-aided, or local body schools are eligible"
National Means-cum-Merit Scholarship (NMMS),annual_income,<=,350000,Parental annual income from all sources must not exceed ₹3.5 lakh,"Parental annual income from all sources must not exceed ₹3,50,000"
Central Sector Scheme of Scholarship for College and University Students,annual_income,<=,450000,Annual family income must not exceed ₹4.5 lakh,annual family income ≤ ₹4.5 lakh
Central Sector Scheme of Scholarship for College and University Students,education_level,=,12th Pass,Must be in the top 20 percentile of Class 12 Board examination results,"fresh applicants must be in the top 20 percentile of Class 12 Board (CBSE/State/ICSE)"
PM YASASVI Scholarship,category,IN,OBC,"Must belong to OBC/EBC/DNT community with a valid category certificate (only OBC maps directly to the platform's category field; EBC/DNT are documented in the scheme description only)","Students must be Indian citizens and belong to OBC, EBC, or DNT communities with a valid category certificate"
PM YASASVI Scholarship,annual_income,<=,250000,Annual family income must not exceed ₹2.5 lakh,Annual family income must not exceed ₹2.5 lakh
PM YASASVI Scholarship,education_level,IN,"Class 9,Class 11",Applicant must be studying in Class 9 or Class 11 in a recognized school,"Applicants should be studying in Class 9 or Class 11 in a recognized government, government-aided, or private school"
AICTE Pragati Scholarship for Girls,gender,=,FEMALE,Scholarship is for girl students only,Girl students admitted to the first year of a diploma/degree course
AICTE Pragati Scholarship for Girls,annual_income,<=,800000,Annual family income must not exceed ₹8 lakh,"The annual family income of the applicant must not exceed ₹8,00,000 during the preceding financial year"
AICTE Saksham Scholarship for Specially Abled Students,disability_status,=,true,Applicant must be a specially-abled student with a government-certified minimum disability of 40%,The applicant must be a specially-abled student with a minimum disability of 40%
AICTE Saksham Scholarship for Specially Abled Students,annual_income,<=,800000,Annual family income must not exceed ₹8 lakh,The annual family income from all sources should not exceed ₹8 lakh during the current financial year
Top Class Education Scheme for SC Students,category,=,SC,Applicant must belong to the Scheduled Caste category,the applicant must belong to the Scheduled Caste (SC) category
Top Class Education Scheme for SC Students,annual_income,<=,800000,Total annual family income from all sources must not exceed ₹8 lakh,The total annual family income from all sources must be less than or equal to Rs. 8.00 lakh
National Fellowship for OBC Students,category,=,OBC,Applicant must belong to the OBC category,Applicants must be unemployed and belong to the OBC category
National Fellowship for OBC Students,annual_income,<=,600000,Annual family income must not exceed ₹6 lakh,Annual family income must not exceed INR 6 Lakh from all sources
National Fellowship for OBC Students,education_level,=,Postgraduate,Applicant must have passed the postgraduate examination and be registered for a full-time M.Phil./Ph.D. programme,Applicants must have passed the postgraduate examination
Post-Matric Scholarship for Minorities,is_minority,=,true,"Applicant must belong to a notified minority community (Muslim, Sikh, Christian, Buddhist, Parsi)","Muslims, Sikhs, Christians, Buddhists and Zoroastrians (Parsis) have been notified as minority communities"
Post-Matric Scholarship for Minorities,annual_income,<=,200000,Annual income of parent/guardian from all sources must not exceed ₹2 lakh,The annual income of the parent's/guardian's from all sources must not exceed Rs. 2 lakh
PM Vishwakarma Yojana,age,>=,18,Applicant must be at least 18 years old at the time of registration,Applicants must be 18 years of age or older
PM Vishwakarma Yojana,occupation,=,Self-Employed,"Applicant must be self-employed in the unorganised sector, working with hands and tools in one of the 18 traditional trades",Workers or artisans must be engaged in self-employment in the unorganised sector
Deendayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM),is_bpl,=,true,Applicant must be an urban poor individual identified as BPL or by the Urban Local Body,Eligible beneficiaries include Urban Poor (BPL/Identified by ULB)
Deendayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM),age,>=,18,Applicant must be at least 18 years old to establish a micro-enterprise under the scheme,Individuals must be at least 18 years old to be eligible to establish micro-enterprises
PM Kaushal Vikas Yojana (PMKVY 4.0),age,>=,15,Minimum age for short-term skill training under PMKVY is 15 years,The age limit is 15-45 years for Short Term Training (STT)
PM Kaushal Vikas Yojana (PMKVY 4.0),age,<=,45,Maximum age for short-term skill training under PMKVY is 45 years,The age limit is 15-45 years for Short Term Training (STT)
National Career Service (NCS) registration,age,>=,14,Minimum age to register on the NCS portal is 14 years with no upper age limit,The minimum age is 14 years and above with no upper age limit
Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),age,>=,18,Applicant must be at least 18 years old and a member of a rural household willing to do unskilled manual work,"an applicant must be an Indian citizen, must reside in a rural area, must be at least 18 years old"
Startup India Seed Fund Scheme,occupation,=,Self-Employed,Applicant must be a founder/promoter of a DPIIT-recognised startup incorporated not more than 2 years before application,Indian promoters must hold at least 51% shareholding in the startup at the time of application
